#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC04262.fits  0.0199  UGC04262a     Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC04797.fits  0.0043  UGC04797a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC04879.fits  0.0005  UGC04879a     I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC06429.fits  0.0133  UGC06429a     Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC06628.fits  0.0035  UGC06628a     SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC06903.fits  0.0064  UGC06903a     Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC06956.fits  0.0038  UGC06956a     SBm    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC07534.fits  0.0033  UGC07534a     I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC07557.fits  0.0033  UGC07557a     SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC08441.fits  0.0059  UGC08441a     I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC08658.fits  0.0076  UGC08658a     Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC08839.fits  0.0037  UGC08839a     IAB    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC08892.fits  0.0067  UGC08892a     I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC09500.fits  0.0060  UGC09500a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC10310.fits  0.0033  UGC10310a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC10862.fits  0.0060  UGC10862a     SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC12082.fits  0.0032  UGC12082a     SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC12709.fits  0.0089  UGC12709a     SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC12732.fits  0.0029  UGC12732a     SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC12776.fits  0.0169  UGC12776a     SBb    0.05    0
