                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  NGC0165                 |   9.1205055 |  -10.10615 |     5808 | 97.7577647490656 |   51.2 | Sbc   |
  ESO242-018              |   9.2757195 |  -46.64412 |     3318 | 100.960432357494 |   49.9 | SBc   |
  UGC00370                |   9.2942205 |   13.05261 |     4546 | 64.7368021965369 |   23.4 | SABd  |
  ESO150-015              |   9.3173745 |  -53.26153 |     8107 | 60.2769438428993 |   32.9 | SBc   |
  ESO350-040              |    9.420276 |  -33.71636 |     8666 | 76.4101882168071 |   53.3 | E-SO  |
  NGC0179                 |    9.442842 |  -17.84952 |     5892 | 67.0117914823311 |   38.5 | E     |
  PGC002269               |    9.489594 |   -9.25270 |     5164 | 83.9752447020325 |   39.1 | SABc  |
  NGC0182                 |    9.551625 |    2.72856 |     5240 | 111.468281012902 |   49.2 | SABa  |
  IC1562                  |    9.641361 |  -24.27382 |     3580 | 90.1885274716306 |   21.2 | SBc   |
  UGC00398                |   9.7392495 |   25.63890 |     4706 | 70.3317228595433 |   44.2 | SABa  |
  NGC0209                 |   9.7648755 |  -18.60831 |     3810 | 68.1006407154566 |   35.1 | E-SO  |
  NGC0196                 |     9.82431 |    0.91274 |     4211 | 76.2344414577833 |   51.8 | S0    |
  NGC0194                 |   9.8267505 |    3.03744 |     5166 | 104.028230956194 |   43.2 | E     |
  UGC00402                |    9.827541 |    3.95244 |     5278 | 84.3628518183023 |   45.1 | S0    |
  ESO540-009              |    9.837462 |  -18.91752 |     3802 | 65.4864183174904 |   43.3 | Sb    |
  NGC0198                 |   9.8457495 |    2.79792 |     5234 |   76.58631911076 |   23.8 | Sc    |
  IC1565                  |   9.8596665 |    6.73411 |    11157 | 107.932253722676 |   15.9 | E     |
  UGC00411                |   9.8735535 |   25.64335 |     4692 |  70.008582096846 |   58.4 | E     |
  NGC0201                 |    9.895104 |    0.85983 |     4356 | 102.364941766694 |   40.5 | Sc    |
  NGC0200                 |   9.8952495 |    2.88736 |     5137 | 108.181074904063 |   57.8 | Sbc   |
  NGC0195                 |    9.899109 |   -9.19447 |     4818 | 73.1393701536062 |   57.5 | SBa   |
  PGC002392               |    9.926625 |   21.23500 |    17233 | 62.8277101237661 |   55.6 | S?    |
  NGC0204                 |    9.934416 |    3.29958 |     5375 | 83.9752447020325 |   45.9 | S0    |
  IC1568                  |     9.98325 |    6.84861 |    11965 | 69.0480216688057 |   47.8 | S0    |
  ESO411-006              |  10.0181445 |  -30.59777 |    14892 | 73.4769819595588 |   51.5 | SBbc  |
  NGC0212                 |   10.055412 |  -56.15305 |     8000 | 114.327635546177 |   52.2 | E-SO  |
  UGC00429                |  10.1274585 |    6.91733 |    12185 | 62.1085279549837 |   50.6 | S0    |
  IC1571                  |   10.157769 |   -0.33067 |     5818 |  63.263214061317 |   39.2 | Sb    |
  PGC002443               |   10.192641 |  -38.34310 |     6720 | 60.6947665891908 |   55.3 | S0    |
  NGC0215                 |  10.2036075 |  -56.21417 |     7968 | 68.8892082133164 |   44.8 | E-SO  |
  PGC169998               |   10.252815 |  -13.97109 |    15876 |  65.788685989933 |   59.5 | Sc    |
  NGC0213                 |   10.291485 |   16.46941 |     5496 | 86.1293552206461 |   42.3 | Sa    |
  PGC002465               |  10.3023975 |  -13.54621 |     1519 | 73.4769819595588 |   51.0 | IB    |
  PGC002466               |  10.3143405 |  -38.40109 |     6921 | 70.4938618102952 |   20.2 | E     |
  PGC002470               |  10.3197825 |   -5.28572 |     3486 | 61.1154855647233 |   44.0 | Sbc   |
  UGC00439                |  10.3399365 |   -1.71563 |     5183 | 60.5551659840007 |   11.1 | SBa   |
  NGC0214                 |  10.3662705 |   25.49967 |     4627 | 112.499670978125 |   47.2 | SABc  |
  PGC002492               |  10.4393775 |  -16.86174 |     1438 | 85.5364642563528 |   51.0 | Sab   |
  ESO351-002              |  10.4871255 |  -32.97019 |     9414 | 73.1393701536062 |   55.2 | Sc    |
